iter	Passed	Remaining
177	16589	76611
178	16683	76518
179	16777	76431
180	16856	76273
181	16944	76158
182	17036	76057
183	17126	75951
184	17223	75877
185	17304	75729
186	17399	75647
187	17497	75572
188	17587	75469
189	17675	75355
190	17766	75250
191	17852	75130
192	17944	75030
193	18051	74998
194	18140	74888
195	18215	74718
196	18292	74561
197	18373	74423
198	18480	74387
199	18572	74291
200	18663	74189
201	18742	74043
202	18825	73910
203	18908	73780
204	18983	73617
205	19059	73462
206	19133	73297
207	19202	73118
208	19273	72944
209	19343	72769
210	19411	72585
211	19483	72419
212	19552	72244
213	19624	72077
214	19684	71870
215	19763	71732
216	19845	71607
217	19925	71477
218	20001	71328
219	20084	71209
220	20161	71068
221	20236	70917
222	20315	70786
223	20401	70677
224	20481	70546
225	20578	70475
226	20669	70384
227	20753	70272
228	20833	70143
229	20905	69986
230	20968	231	20231	21047	232	21232	21118	233	21233	21195	234	21234	21271	235	21364	69162
236	21462	69097
237	21554	69012
238	21655	68954
239	21754	68888
240	21848	68808
241	21939	68720
242	22040	68662
243	22132	68574
244	22234	68519
245	22328	68439
246	22432	68387
247	22534	68329
248	22631	68258
249	22726	68179
250	22810	68067
251	22897	67964
252	22995	67894
253	23081	67791
254	23173	67704
255	23253	67579
256	23334	67459
257	23416	67344
258	23491	67208
259	23573	67092
260	23655	66979
261	23737	66864
262	23822	66756
263	23900	66631
264	23980	66511
265	24058	66387
266	24148	66294
267	24217	66145
268	24305	66050
269	24389	65940
270	24480	65853
271	24559	65731
272	24646	65634
273	24720	65500
274	24797	65374
275	24875	65252
276	24953	65130
277	25035	65021
278	25107	64883
279	25189	64773
280	25269	64657
281	25356	64560
282	25437	64447
283	25522	64345
284	25601	64228
285	25682	64115
286	25749	63970
287	25821	63836
288	25898	63714
289	25983	63614
290	26073	63525
291	26146	63395
292	26221	63272
293	26295	63144
294	26381	63047
295	26469	62955
296	26539	62819
297	26617	62702
298	26690	62576
299	26767	62458
300	26842	62334
301	26923	62226
302	26997	62102
303	27070	61976
304	27135	61834
305	27232	61762
306	27335	61705
307	27428	61626
308	27508	61516
309	27613	61462
310	27706	61381
311	27800	61302
312	27884	61203
313	27976	61120
314	28069	61040
315	28152	60937
316	28242	60850
317	28326	60750
318	28404	60638
319	28483	60527
320	28554	60399
321	28628	60279
322	28709	60174
323	28789	60067
324	28886	59994
325	28954	59863
326	29030	59747
327	29128	59676
328	29222	59600
329	29330	59549
330	29419	59460
331	29520	59396
332	29621	59331
333	29694	59211
334	29758	59072
335	29825	58940
336	29906	58837
337	29973	58704
338	30062	58617
339	30134	58496
340	30207	58377
341	30281	58260
342	30373	58179
343	30458	58083
344	30552	58006
345	30619	57876
346	30695	57763
347	30783	57675
348	30877	57596
349	30961	57500
350	31034	57383
351	31117	57284
352	31220	57223
353	31288	57096
354	31376	57007
355	31467	56925
356	31544	56814
357	31622	56708
358	31700	56602
359	31827	56582
360	31932	56524
361	32034	56458
362	32119	56363
363	32200	56261
364	32277	56154
365	32359	56053
366	32435	55944
367	32523	55855
368	32607	55760
369	32686	55655
370	32770	55559
371	32858	55470
372	32975	55430
373	33116	55429
374	33248	55414
375	33339	55330
376	33424	55235
377	33518	55154
378	33622	55091
379	33702	54987
380	33802	54917
381	33888	54824
382	33977	54736
383	34042	54610
384	34121	54506
385	34194	54392
386	34270	54283
387	34347	54177
388	34413	54053
389	34491	53947
390	34571	53846
391	34652	53746
392	34778	53716
393	34911	53696
394	35044	53675
395	35167	53639
396	35265	53564
397	35360	53485
398	35478	53439
399	35567	53350
400	35684	53304
401	35829	53298
402	35996	53324
403	36393	53689
404	36517	53648
405	36620	53577
406	36778	53586
407	36895	53533
408	36981	53437
409	37083	53363
410	37166	53263
411	37242	53151
412	37328	53055
413	37415	52959
414	37501	52864
415	37576	52752
416	37642	52627
417	37714	52511
418	37806	52423
419	37883	52315
420	37958	52204
421	38043	52106
422	38116	51992
423	38186	51875
424	38263	51768
425	38366	51696
426	38449	51595
427	38529	51492
428	38613	51394
429	38685	51280
430	38757	51167
431	38843	51072
432	38916	50960
433	38998	50860
434	39077	50756
435	39160	50657
436	39250	50567
437	39339	50476
438	39418	50372
439	39481	50248
440	39554	50138
441	39625	50024
442	39678	49889
443	39744	49769
444	39805	49644
445	39869	49524
446	39924	49391
447	39989	49272
448	40040	49137
449	40106	49018
450	40171	48901
451	40227	48771
452	40290	48650
453	40372	48553
454	40443	48443
455	40517	48336
456	40593	48232
457	40674	48134
458	40790	48078
459	40989	48117
460	41076	48026
461	41163	47934
462	41229	47818
463	41291	47698
464	41362	47588
465	41430	47476
466	41483	47346
467	41549	47231
468	41611	47112
469	41671	46991
470	41733	46872
471	41787	46745
472	41838	46615
473	41891	46486
474	41952	46368
475	42011	46247
476	42072	46130
477	42132	46010
478	42194	45894
479	42251	45772
480	42316	45659
481	42374	45539
482	42438	45425
483	42490	45300
484	42562	45195
485	42631	45087
486	42706	44986
487	42785	44889
488	42867	44796
489	42926	44678
490	42995	44572
491	43073	44473
492	43145	44370
493	43228	44278
494	43292	44167
495	43348	44047
496	43425	43950
497	43497	43847
498	43580	43755
499	43655	43655
500	43738	43564
501	43821	43472
502	43901	43377
503	43972	43274
504	44045	43173
505	44107	43061
506	44161	42941
507	44233	42840
508	44312	42745
509	44382	42642
510	44440	42527
511	44500	42414
512	44563	42304
513	44616	42185
514	44685	42082
515	44749	41974
516	44817	41870
517	44866	41748
518	44938	41648
519	44998	41536
520	45059	41427
521	45119	41316
522	45168	41196
523	45229	41086
524	45285	40972
525	45342	40859
526	45404	40751
527	45471	40649
528	45536	40543
529	45595	40433
530	45650	40320
531	45716	40217
532	45777	40109
533	45833	39997
534	45899	39893
535	45962	39788
536	46024	39681
537	46085	39575
538	46150	39471
539	46214	39367
540	46275	39261
541	46337	39155
542	46402	39053
543	46465	38948
544	46527	38844
545	46602	38749
546	46664	38645
547	46718	38534
548	46800	38446
549	46875	38352
550	46953	38261
551	47021	38162
552	47092	38065
553	47161	37967
554	47232	37870
555	47299	37771
556	47372	37676
557	47444	37581
558	47506	37478
559	47569	37376
560	47636	37277
561	47704	37178
562	47759	37070
563	47829	36974
564	47895	36875
565	47963	36777
566	48024	36674
567	48085	36572
568	48146	36469
569	48219	36375
570	48277	36271
571	48350	36178
572	48417	36080
573	48479	35979
574	48540	35877
575	48605	35778
576	48673	35683
577	48738	35584
578	48804	35486
579	48868	35387
580	48951	35302
581	49024	35210
582	49100	35120
583	49160	35018
584	49234	34927
585	49298	34828
586	49369	34735
587	49429	34634
588	49502	34542
589	49564	34443
590	49646	34357
591	49707	34257
592	49775	34162
593	49853	34074
594	49925	33982
595	49996	33890
596	50066	33796
597	50135	33703
598	50202	33608
599	50264	33509
600	50339	33420
601	50399	33320
602	50464	33224
603	50518	33121
604	50593	33031
605	50663	32939
606	50738	32850
607	50815	32762
608	50880	32667
609	50947	32572
610	51022	32484
611	51100	32397
612	51201	32324
613	51273	32233
614	51343	32141
615	51407	32046
616	51478	31955
617	51554	31867
618	51623	31774
619	51689	31680
620	51758	31588
621	51827	31496
622	51900	31407
623	51971	31316
624	52040	31224
625	52106	31130
626	52174	31038
627	52245	30948
628	52314	30856
629	52378	30762
630	52449	30671
631	52512	30576
632	52566	30476
633	52631	30383
634	52699	30291
635	52767	30200
636	52829	30105
637	52893	30011
638	52956	29917
639	53012	29819
640	53065	29720
641	53121	29622
642	53174	29523
643	53227	29423
644	53281	29325
645	53345	29232
646	53403	29136
647	53461	29040
648	53516	28943
649	53573	28847
650	53625	28748
651	53685	28654
652	53741	28557
653	53807	28466
654	53864	28371
655	53922	28276
656	53973	28177
657	54025	28079
658	54088	27988
659	54148	27894
660	54215	27804
661	54281	27714
662	54350	27625
663	54408	27531
664	54472	27441
665	54535	27349
666	54605	27261
667	54667	27169
668	54721	27074
669	54769	26976
670	54826	26882
671	54881	26787
672	54937	26693
673	54988	26596
674	55041	26501
675	55094	26406
676	55150	26312
677	55203	26217
678	55262	26125
679	55314	26030
680	55371	25937
681	55427	25844
682	55487	25753
683	55549	25663
684	55605	25570
685	55675	25484
686	55742	25396
687	55815	25311
688	55890	25227
689	55940	25132
690	55998	25041
691	56049	24947
692	56119	24860
693	56178	24770
694	56239	24680
695	56295	24588
696	56373	24506
697	56437	24418
698	56506	24332
699	56575	24246
700	56636	24157
701	56694	24067
702	56756	23978
703	56811	23886
704	56866	23795
705	56922	23704
706	56979	23613
707	57027	23519
708	57087	23431
709	57140	23338
710	57189	23245
711	57238	23152
712	57293	23062
713	57344	22970
714	57406	22882
715	57463	22792
716	57520	22703
717	57577	22613
718	57626	22521
719	57685	22433
720	57731	22340
721	57789	22251
722	57847	22162
723	57915	22078
724	57973	21990
725	58021	21897
726	58073	21807
727	58125	21717
728	58178	21627
729	58235	21539
730	58292	21451
731	58353	21364
732	58420	21280
733	58468	21188
734	58520	21099
735	58565	21007
736	58612	20916
737	58670	20828
738	58722	20739
739	58772	20649
740	58815	20557
741	58870	20469
742	58926	20382
743	58978	20293
744	59036	20207
745	59092	20119
746	59139	20029
747	59185	19939
748	59245	19853
749	59303	19767
750	59365	19683
751	59417	19595
752	59468	19506
753	59525	19420
754	59581	19334
755	59645	19250
756	59696	19162
757	59748	19075
758	59800	18988
759	59854	18901
760	59918	18817
761	59971	18731
762	60025	18644
763	60078	18558
764	60123	18469
765	60181	18384
766	60237	18299
767	60288	18212
768	60339	18125
769	60399	18041
770	60454	17956
771	60512	17871
772	60564	17785
773	60617	17699
774	60660	17611
775	60702	17522
776	60749	17435
777	60806	17351
778	60861	17266
779	60909	17179
780	60959	17093
781	61014	17009
782	61071	16925
783	61126	16841
784	61177	16755
785	61221	16668
786	61267	16581
787	61330	16499
788	61388	16416
789	61438	16331
790	61485	16245
791	61539	16161
792	61597	16079
793	61648	15994
794	61701	15910
795	61760	15828
796	61821	15746
797	61876	15663
798	61930	15579
799	61989	15497
800	62037	15412
801	62091	15329
802	62146	15246
803	62205	15164
804	62269	15083
805	62330	15002
806	62399	14923
807	62453	14840
808	62510	14758
809	62564	14675
810	62622	14593
811	62681	14512
812	62736	14430
813	62796	14349
814	62851	14266
815	62908	14185
816	62965	14103
817	63015	14020
818	63078	13940
819	63139	13859
820	63197	13778
821	63247	13695
822	63311	13616
823	63372	13535
824	63441	13457
825	63502	13376
826	63558	13295
827	63615	13214
828	63673	13134
829	63737	13054
830	63798	12974
831	63857	12894
832	63914	12813
833	63970	12732
834	64020	12650
835	64099	12574
836	64159	12494
837	64218	12414
838	64278	12334
839	64334	12254
840	64398	12175
841	64451	12094
842	64512	12014
843	64566	11934
844	64623	11853
845	64681	11774
846	64741	11694
847	64815	11617
848	64884	11540
849	64956	11462
850	65029	11385
851	65090	11306
852	65148	11227
853	65219	11149
854	65279	11070
855	65333	10990
856	65398	10912
857	65452	10832
858	65509	10752
859	65569	10674
860	65617	10593
861	65667	10512
862	65722	10433
863	65770	10352
864	65832	10274
865	65881	10194
866	65926	10113
867	65980	10033
868	66035	9954
869	66093	9876
870	66165	9799
871	66225	9721
872	66287	9643
873	66362	9567
874	66426	9489
875	66489	9411
876	66550	9333
877	66604	9254
878	66647	9174
879	66703	9095
880	66762	9017
881	66816	8939
882	66863	8859
883	66913	8780
884	66985	8704
885	67038	8625
886	67099	8548
887	67168	8471
888	67239	8395
889	67309	8319
890	67365	8241
891	67429	8164
892	67484	8086
893	67552	8009
894	67609	7931
895	67664	7853
896	67715	7775
897	67781	7699
898	67842	7621
899	67921	7546
900	67988	7470
901	68049	7393
902	68110	7316
903	68187	7241
904	68260	7165
905	68340	7090
906	68585	7032
907	68636	6954
908	68706	6878
909	68764	6800
910	68815	6722
911	68866	6645
912	68908	6566
913	68967	6489
914	69026	6412
915	69079	6334
916	69122	6256
917	69173	6178
918	69229	6101
919	69282	6024
920	69338	5947
921	69392	5870
922	69444	5793
923	69491	5715
924	69540	5638
925	69595	5561
926	69650	5484
927	69696	5407
928	69748	5330
929	69796	5253
930	69850	5176
931	69902	5100
932	69951	5023
933	69995	4946
934	70047	4869
935	70092	4792
936	70141	4715
937	70193	4639
938	70242	4563
939	70296	4486
940	70348	4410
941	70413	4335
942	70465	4259
943	70520	4183
944	70570	4107
945	70613	4030
946	70653	3954
947	70695	3877
948	70738	3801
949	70791	3725
950	70830	3649
951	70876	3573
952	70916	3497
953	70958	3421
954	71003	3345
955	71045	3269
956	71098	3194
957	71144	3119
958	71178	3043
959	71209	2967
960	71248	2891
961	71295	2816
962	71335	2740
963	71376	2665
964	71407	2589
965	71441	2514
966	71470	2439
967	71499	2363
968	71528	2288
969	71562	2213
970	71595	2138
971	71630	2063
972	71671	1988
973	71705	1914
974	71736	1839
975	71770	1764
976	71799	1690
977	71832	1615
978	71871	1541
979	71900	1467
980	71921	1392
981	71948	1318
982	71971	1244
983	71995	1170
984	72036	1097
985	72061	1023
986	72081	949
987	72103	875
988	72125	802
989	72149	728
990	72169	655
991	72191	582
992	72215	509
993	72235	436
994	72257	363
995	72282	290
996	72310	217
997	72330	144
998	72352	72
999	72372	0
0
1
982	77045	1332
983	77090	1253
984	77129	1174
985	77175	1095
986	77220	1017
987	77262	938
988	77298	859
989	77341	781
990	77382	702
991	77427	624
992	77468	546
993	77506	467
994	77551	389
995	77608	311
996	77656	233
997	77698	155
998	77739	77
999	77779	0
