iter	RMSE
571	0.287572	0.2572	0.2878573	0.573	0.28780574	0.574	0.28777575	0.575	0.28773576	0.576	0.28771577	0.577	0.28767578	0.578	0.28763579	0.579	0.2875580	0.2580	0.2875581	0.2581	0.287582	0.28582	0.287583	0.28583	0.287584	0.28584	0.287585	0.28585	0.2586	0.2877586	0.2587	0.2876587	0.588	0.28767588	0.589	0.28764589	0.590	0.28760590	0.591	0.28757591	0.592	0.28756592	0.593	0.28754593	0.594	0.28751594	0.595	0.28748595	0.596	0.28745596	0.597	0.28742597	0.598	0.28738598	0599	0.287355599	0600	0.28731600	0.601	0.28728601	0602	0.287250602	0603	0.287233603	0604	0.287215604	605	0.2871988605606	0.28717357606607	0.28716242607	0.2868348108
608	0.2868051649
609	0.2867735956
610	0.2867505421
611	0.2867245733
612	0.2866891319
613	0.2866707065
614	0.2866498624
615	0.2866042811
616	0.2865601559
617	0.2865348134
618	0.2864966662
619	0.286469358
620	0.2864430903
621	0.2864185889
622	0.2863925915
623	0.2863759957
624	0.2863459289
625	0.286320677
626	0.2862974152
627	0.2862686846
628	0.2862376686
629	0.2862171419
630	0.2862003196
631	0.2861673579
632	0.2861503543
633	0.2861245479
634	0.2860911222
635	0.2860526806
636	0.2860382591
637	0.2860284575
638	0.2859951615
639	0.2859755202
640	0.285954499
641	0.2859230419
642	0.2858983451
643	0.285879465
644	0.2858531161
645	0.2858229968
646	0.2857847526
647	0.2857580297
648	0.2857349669
649	0.2857000531
650	0.2856691107
651	0.2856434296
652	0.2856206054
653	0.2855966365
654	0.2855749933
655	0.2855394252
656	0.2855180399
657	0.2855015706
658	0.2854910051
659	0.2854645361
660	0.2854371517
661	0.2854096683
662	0.2853926902
663	0.2853692943
664	0.2853551588
665	0.2853353636
666	0.2853255123
667	0.2853002345
668	0.2852793215
669	0.2852488036
670	0.2852110427
671	0.2851867456
672	0.28515914086673	0.285135215
674	0.2851091804
675	0.2850767504
676	0.2850515304
677	0.285031731
678	0.2850063699
679	0.2849822596
680	0.284958589
681	0.2849341293
682	0.2849057325
683	0.2848797468
684	0.2848431602
685	0.2848180926
686	0.2847993148
687	0.2847813334
688	0.2847591127
689	0.2847380088
690	0.2847001414
691	0.2846742852
692	0.2846486287
693	0.2846349935
694	0.2846152675
695	0.2846047183
696	0.2845666957
697	0.2845538563
698	0.284531178
699	0.2845048313
700	0.2844937855
701	0.2844785567
702	0.2844432653
703	0.2844245726
704	0.28441245257705	0.28438662427706	0.28435607857707	0.2843221385
708	0.2842922702
709	0.2842757739
710	0.2842429841
711	0.2842262911
712	0.2841999474
713	0.2841775942
714	0.2841497707
715	0.2841250158
716	0.28409546
717	0.2840760609
718	0.2840487499
719	0.2840220431
720	0.2839911538
721	0.2839789933
722	0.2839546424
723	0.2839296806
724	0.2839076866
725	0.2838870149
726	0.2838608423
727	0.2838094579
728	0.2837717999
729	0.2837584872
730	0.2837305425
731	0.2837181354
732	0.2836971265
733	0.2836793629
734	0.2836659336
735	0.2836500843
736	0.2836292089
737	0.2836022776
738	0.2835862461
739	0.2835686768
740	0.283533556
741	0.2835066418
742	0.2834838191
743	0.2834625562
744	0.2834509626
745	0.2834358087
746	0.2834259807
747	0.2834132339
748	0.2833898753
749	0.2833762873
750	0.2833513894
751	0.2833339762
752	0.2833085916
753	0.2832891126
754	0.2832646171
755	0.2832394261
756	0.283224666
757	0.2832032221
758	0.2831863524
759	0.2831674441
760	0.2831444239
761	0.2831317706
762	0.2831054266
763	0.2830881827
764	0.2830721771
765	0.2830510678
766	0.2830232505
767	0.2830147407
768	0.2829958586
769	0.2829759347
770	0.2829622852
771	0.2829480525
772	0.2829233894
773	0.2829059266
774	0.2828837172
775	0.2828616348
776	0.2828416782
777	0.282831695
778	0.2828137839
779	0.2827951866
780	0.2827782774
781	0.2827633679
782	0.2827391813
783	0.2827251259
784	0.2826889572
785	0.2826737929
786	0.2826537085
787	0.2826335132
788	0.282589463
789	0.2825719567
790	0.282559162
791	0.2825256564
792	0.282499938
793	0.2824742791
794	0.2824584981
795	0.2824355982
796	0.2824221084
797	0.2824037933
798	0.2823988036
799	0.2823835817
800	0.2823762668
801	0.2823567106
802	0.2823435674
803	0.2823281255
804	0.2823034201
805	0.2822965756
806	0.2822795238
807	0.2822622307
808	0.2822452837
809	0.2822096283
810	0.2821963897
811	0.2821814997
812	0.282163123
813	0.2821515474
814	0.2821216002
815	0.2821021045
816	0.2820829732
817	0.2820570208
818	0.2820377704
819	0.2820253603
820	0.2820170817
821	0.2819956556
822	0.2819847152
823	0.2819554984
824	0.2819446455
825	0.2819224641
826	0.2819060677
827	0.2818936973
828	0.2818836785
829	0.2818706731
830	0.2818578971
831	0.2818367406
832	0.2818248046
833	0.2818050445
834	0.2817856799
835	0.2817744748
836	0.2817579545
837	0.2817425214
838	0.2817196266
839	0.2817126047
840	0.2817037261
841	0.2816844417
842	0.2816742025
843	0.2816608268
844	0.2816430502
845	0.2816247059
846	0.2816019424
847	0.2815866275
848	0.2815682749
849	0.2815575942
850	0.2815471115
851	0.2815259686
852	0.2815096762
853	0.2814922278
854	0.2814801795
855	0.2814607504
856	0.2814452165
857	0.2814270228
858	0.2814201553
859	0.2814105769
860	0.2814008798
861	0.2813922482
862	0.2813727196
863	0.2813661129
864	0.2813485057
865	0.2813388678
866	0.2813278731
867	0.2813136463
868	0.2812741499
869	0.2812650186
870	0.2812454781
871	0.2812270049
872	0.2812182103
873	0.2812085378
874	0.2811903116
875	0.2811723962
876	0.2811554704
877	0.2811344155
878	0.2811215532
879	0.281110228
880	0.2810901272
881	0.2810744922
882	0.281061103
883	0.2810528661
884	0.2810404338
885	0.281028674
886	0.2810126993
887	0.2809987059
888	0.2809823923
889	0.2809721502
890	0.2809543068
891	0.2809378572
892	0.280922503
893	0.2809092503
894	0.2809019676
895	0.2808850534
896	0.2808719209
897	0.2808572044
898	0.2808459577
899	0.2808338514
900	0.2808233119
901	0.2808102553
902	0.280798598
903	0.2807790898
904	0.2807689138
905	0.2807338176
906	0.280712824
907	0.2806972103
908	0.2806891824
909	0.2806782943
910	0.2806568217
911	0.2806451148
912	0.2806273195
913	0.2806167519
914	0.2806066639
915	0.2805922742
916	0.2805800472
917	0.2805727296
918	0.2805572423
919	0.2805387816
920	0.2805158681
921	0.280502571
922	0.2804868449
923	0.2804766004
924	0.2804621456
925	0.2804532244
926	0.2804449513
927	0.2804309387
928	0.280418828
929	0.2804124353
930	0.2803991393
931	0.2803869172
932	0.2803775463
933	0.2803571992
934	0.2803461782
935	0.2803341129
936	0.280323593
937	0.2803048974
938	0.2802890662
939	0.2802710949
940	0.2802511005
941	0.2802377744
942	0.2802282465
943	0.2802181985
944	0.2802075339
945	0.2801961412
946	0.2801836167
947	0.2801704068
948	0.2801555499
949	0.2801427124
950	0.2801233978
951	0.2801138392
952	0.2800985247
953	0.280092622
954	0.2800801251
955	0.2800670397
956	0.2800491405
957	0.2800409186
958	0.280033927
959	0.2800240414
960	0.2800113122
961	0.2800041135
962	0.2799911708
963	0.2799712598
964	0.2799612528
965	0.2799447135
966	0.2799381751
967	0.2799254398
968	0.2799200064
969	0.2799094158
970	0.2798858151
971	0.2798649771
972	0.2798586844
973	0.2798444634
974	0.279830034
975	0.279823032
976	0.2798101936
977	0.279797018
978	0.2797885212
979	0.27977541
980	0.2797568692
981	0.2797478228
982	0.2797394511
983	0.2797275888
984	0.279720639
985	0.2797062545
986	0.2796970205
987	0.2796846074
988	0.2796750378
989	0.2796624211
990	0.279653551
991	0.2796372682
992	0.2796283503
993	0.2796112229
994	0.2795946901
995	0.2795781188
996	0.2795646505
997	0.2795548041
998	0.2795385307
999	0.2795317486

281960578
